State,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year),Commodity,Year,Month,"Prices March, 2022 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)"
Uttar Pradesh,,,,9.5,36.6,Bajra,2022,11,,,,,,,,,,,,,,,1973.57,,2160.94,1581.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,Bajra,2022,12,,,,,,,,,,,,,,,,,,,,2142.11,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,1.6,35.0,Bajra,2022,12,,,,,,,,,,,,,,,,,2503.15,,2542.22,1883.26,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,2.7,24.4,Bajra,2022,12,,,,,,,,,,,,,,,,,1993.35,,2047.07,1645.26,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,7.7,29.6,Bajra,2022,12,,,,,,,,,,,,,,,,,2126.01,,2290.56,1767.13,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,6.8,25.6,Bajra,2022,12,,,,,,,,,,,,,,,,,1846.51,,1972.87,1570.74,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,4.7,28.9,Bajra,2022,12,,,,,,,,,,,,,,,,,2706.14,,2834.51,2199.65,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,7.2,,Bajra,2022,12,,,,,,,,,,,,,,,,,1984.16,,2127.74,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,1.1,21.1,Bajra,2022,12,,,,,,,,,,,,,,,,,2061.87,,2084.84,1720.84,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,140.9,180.7,Bajra,2022,12,,,,,,,,,,,,,,,,,2156.07,,5193.16,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,,Bajra,2022,12,,,,,,,,,,,,,,,,,1381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,5.8,43.8,Bajra,2022,12,,,,,,,,,,,,,,,,,2160.94,,2285.09,1588.79,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,,2936.84,,,,Bajra,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,1925.87,,3.5,36.7,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2542.22,,2632.01,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,1752.23,,5.2,22.9,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2047.07,,2153.57,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,1727.42,,-1.0,31.3,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2290.56,,2267.59,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,1628.6,,7.8,30.5,Bajra,2023,1,,,,,,,,,,,,,,,,,,,1972.87,,2125.91,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,2273.82,,4.9,30.8,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2834.51,,2974.53,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,1902.54,,2.5,14.7,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2127.74,,2181.38,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Bajra,2023,1,,,,,,,,,,,,,,,,,,,,,2462.15,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,1757.12,,5.3,24.9,Bajra,2023,1,,,,,,,,,,,,,,,,,,,2084.84,,2195.42,,,,,,,,,,,,,,,,,,,,,,,,
